## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.stores,entity.relatedProducts,entity.relatedCoupons,,,,,,,,...
C1,Offer1,,,,2,,,,"S1,S2,S3,S4,S5","P1,P2,P3,P4,P5",,,,,,,,,
C2,Offer2,,,,1,,,,"S6,S7,S8,S9,S10","P6,P7,P8,P9,P10",,,,,,,,,
C3,Offer3,,,,1,,,,"S11,S12,S13,S14,S15","P11,P12,P13,P14,P15",,,,,,,,,
C4,Offer4,,,,2,,,,"S16,S17,S18,S19,S20","P16,P17,P18,P19,P20",,,,,,,,,
C5,Offer5,,,,3,,,,"S21,S22,S23,S24,S25","P21,P22,P23,P24,P25",,,,,,,,,
C6,Offer6,,,,4,,,,"S26,S27,S28,S29,S30","P26,P27,P28,P29,P30",,,,,,,,,
C7,Offer7,,,,1,,,,"S1,S2,S3,S4,S5","P1,P2,P3,P4,P5",,,,,,,,,
C8,Offer8,,,,1,,,,"S6,S7,S8,S9,S10","P6,P7,P8,P9,P10",,,,,,,,,
C9,Offer9,,,,1,,,,"S11,S12,S13,S14,S15","P11,P12,P13,P14,P15",,,,,,,,,
C10,Offer10,,,,2,,,,"S16,S17,S18,S19,S20","P16,P17,P18,P19,P20",,,,,,,,,
C11,Offer11,,,,2,,,,"S21,S22,S23,S24,S25","P21,P22,P23,P24,P25",,,,,,,,,
C12,Offer12,,,,2,,,,"S26,S27,S28,S29,S30","P26,P27,P28,P29,P30",,,,,,,,,
C13,Offer13,,,,2,,,,"S1,S2,S3,S4,S5","P1,P2,P3,P4,P5",,,,,,,,,
C14,Offer14,,,,1,,,,"S6,S7,S8,S9,S10","P6,P7,P8,P9,P10",,,,,,,,,
C15,Offer15,,,,2,,,,"S11,S12,S13,S14,S15","P11,P12,P13,P14,P15",,,,,,,,,
C16,Offer16,,,,2,,,,"S16,S17,S18,S19,S20","P16,P17,P18,P19,P20",,,,,,,,,
C17,Offer17,,,,1,,,,"S21,S22,S23,S24,S25","P21,P22,P23,P24,P25",,,,,,,,,
C18,Offer18,,,,1,,,,"S26,S27,S28,S29,S30","P26,P27,P28,P29,P30",,,,,,,,,
C19,Offer19,,,,2,,,,"S1,S2,S3,S4,S5","P1,P2,P3,P4,P5",,,,,,,,,
C20,Offer20,,,,2,,,,"S6,S7,S8,S9,S10","P6,P7,P8,P9,P10",,,,,,,,,
